stats_o/std,test/mean_Q,train/success_rate,stats_g/std,test/episode,stats_g/mean,train/episode,stats_o/mean,epoch,test/success_rate
0.047061965,-2.8431416,0.05777777777777778,0.07259473,20.0,0.83624977,100.0,0.20077696,0,0.058333333333333334
0.046254892,-4.8121724,0.07722222222222223,0.07160204,40.0,0.8368652,200.0,0.20084181,1,0.058333333333333334
0.04574278,-6.8786335,0.05888888888888889,0.070892215,60.0,0.8373078,300.0,0.20095293,2,0.03888888888888889
0.04699239,-8.465441,0.07444444444444445,0.07156035,80.0,0.83766556,400.0,0.20108098,3,0.07500000000000001
0.0485465,-10.031569,0.08888888888888889,0.07329661,100.0,0.83815503,500.0,0.2012652,4,0.08611111111111111
0.04956223,-11.179768,0.10166666666666667,0.07367739,120.0,0.8383162,600.0,0.20141187,5,0.11944444444444446
0.05061903,-11.881355,0.12666666666666668,0.07383956,140.0,0.8384177,700.0,0.20146765,6,0.17500000000000002
0.052881703,-12.142869,0.18944444444444444,0.07441351,160.0,0.8386094,800.0,0.2015214,7,0.2555555555555556
0.05691152,-10.6383505,0.33888888888888885,0.07462637,180.0,0.8386861,900.0,0.20147341,8,0.4166666666666667
0.061824813,-6.230177,0.5249999999999999,0.074858375,200.0,0.83890384,1000.0,0.20159572,9,0.7111111111111111
0.066928044,-3.2357588,0.7227777777777777,0.074628204,220.0,0.8392015,1100.0,0.2017191,10,0.8666666666666667
0.07232025,-1.6409065,0.8205555555555555,0.074742585,240.0,0.83927387,1200.0,0.20183218,11,0.9499999999999998
0.07630685,-1.3315642,0.9005555555555556,0.074443206,260.0,0.8391895,1300.0,0.20178346,12,0.9833333333333335
0.078894034,-1.293677,0.9338888888888888,0.07391807,280.0,0.8391229,1400.0,0.20194691,13,0.9944444444444444
0.08103542,-1.169255,0.9549999999999998,0.0734145,300.0,0.8390609,1500.0,0.20203286,14,0.9944444444444444
0.0832227,-1.183773,0.9499999999999998,0.07312507,320.0,0.8390219,1600.0,0.20198601,15,0.9972222222222222
0.085169524,-1.0369129,0.9522222222222223,0.07283482,340.0,0.8390627,1700.0,0.20198564,16,1.0
0.08680018,-1.0867053,0.953888888888889,0.07264292,360.0,0.83908534,1800.0,0.20196936,17,1.0
0.088047706,-1.1447797,0.9583333333333334,0.0723701,380.0,0.83907604,1900.0,0.20192774,18,0.9972222222222222
0.08918828,-1.0000254,0.958888888888889,0.07214524,400.0,0.83906704,2000.0,0.20189217,19,0.9972222222222222
