stats_o/std,test/mean_Q,train/success_rate,stats_g/std,test/episode,stats_g/mean,train/episode,stats_o/mean,epoch,test/success_rate
0.090172976,-0.93067294,0.9605555555555555,0.0719635,420.0,0.83905077,2100.0,0.20194046,20,1.0
0.09121173,-0.9587457,0.9605555555555555,0.07181617,440.0,0.83903503,2200.0,0.20198624,21,1.0
0.09196227,-1.0248945,0.9500000000000001,0.071609534,460.0,0.83901703,2300.0,0.20201719,22,1.0
0.09277757,-1.0777593,0.9516666666666667,0.071435265,480.0,0.83902574,2400.0,0.20203736,23,0.9888888888888889
0.09362146,-1.0241269,0.9605555555555555,0.07127452,500.0,0.8389971,2500.0,0.20208393,24,1.0
0.09437231,-1.0055966,0.9622222222222222,0.07116474,520.0,0.83901566,2600.0,0.20213087,25,1.0
0.09487261,-0.9774703,0.9616666666666666,0.07110463,540.0,0.839005,2700.0,0.20213085,26,0.9972222222222222
0.095448,-0.89253986,0.9627777777777777,0.0710266,560.0,0.8390421,2800.0,0.20216542,27,1.0
0.09590247,-0.94538105,0.9655555555555555,0.07090685,580.0,0.8390525,2900.0,0.20220563,28,1.0
0.096280605,-0.98450744,0.9672222222222222,0.070777506,600.0,0.839041,3000.0,0.20222193,29,1.0
0.096677914,-0.9365857,0.9522222222222223,0.07076219,620.0,0.83905935,3100.0,0.20224127,30,0.9972222222222222
0.09708745,-0.98655045,0.9561111111111111,0.070673384,640.0,0.83904004,3200.0,0.20224237,31,0.9972222222222222
0.09740349,-0.95258427,0.9677777777777776,0.070503324,660.0,0.8390548,3300.0,0.20225775,32,1.0
0.097845584,-0.9682986,0.9644444444444444,0.07036474,680.0,0.8390397,3400.0,0.20227584,33,0.9944444444444444
0.09813413,-0.8792966,0.9655555555555555,0.07024014,700.0,0.83905244,3500.0,0.20231028,34,1.0
0.09847382,-0.9470527,0.9544444444444444,0.07022599,720.0,0.8390409,3600.0,0.20230016,35,0.9972222222222222
0.09881013,-0.92588085,0.9611111111111109,0.07013626,740.0,0.8390523,3700.0,0.20230895,36,1.0
0.099118575,-0.965339,0.9605555555555555,0.07004206,760.0,0.839031,3800.0,0.20232469,37,1.0
0.09937739,-0.90894806,0.9666666666666666,0.06996335,780.0,0.8390105,3900.0,0.2023389,38,1.0
0.09970829,-0.91682583,0.967222222222222,0.069882646,800.0,0.83901334,4000.0,0.2023626,39,1.0
0.09994462,-0.9160457,0.9550000000000001,0.06980545,820.0,0.8389882,4100.0,0.2023929,40,1.0
0.100190654,-0.9334256,0.9600000000000001,0.06981054,840.0,0.8390239,4200.0,0.20241396,41,1.0
0.100476064,-0.84233665,0.9661111111111111,0.069707304,860.0,0.839012,4300.0,0.20240542,42,1.0
0.10067075,-0.9095741,0.9611111111111111,0.0696247,880.0,0.8390093,4400.0,0.20241183,43,1.0
0.10091979,-0.85728,0.9549999999999998,0.069545254,900.0,0.8389819,4500.0,0.20242473,44,1.0
0.10111125,-0.9033451,0.9583333333333334,0.06949285,920.0,0.8389605,4600.0,0.20241967,45,1.0
0.10145183,-0.9084463,0.9577777777777778,0.06950549,940.0,0.838907,4700.0,0.20239994,46,0.9972222222222222
0.10172334,-1.0145143,0.9566666666666666,0.06950787,960.0,0.83891845,4800.0,0.20240575,47,0.9972222222222222
0.10202094,-0.90496254,0.9577777777777777,0.069435254,980.0,0.8388906,4900.0,0.202425,48,0.9972222222222222
0.10222879,-0.91073227,0.9672222222222222,0.069371566,1000.0,0.8389067,5000.0,0.20243984,49,0.9972222222222222
