train/success_rate,test/episode,train/episode,stats_o/std,epoch,stats_g/mean,stats_o/mean,test/success_rate,stats_g/std,test/mean_Q
0.0022222222222222222,20.0,100.0,0.05312516,0,0.7414286,0.17582944,0.0,0.117932,-3.0620112
0.0022222222222222222,40.0,200.0,0.05388834,1,0.74323153,0.17617828,0.0,0.1182566,-5.0884724
0.0022222222222222222,60.0,300.0,0.054496393,2,0.7446056,0.17658275,0.011111111111111112,0.1203148,-7.1042566
0.006111111111111112,80.0,400.0,0.057094693,3,0.74573207,0.17687061,0.0,0.12762457,-9.083405
0.013888888888888888,100.0,500.0,0.060770076,4,0.7472849,0.17746933,0.022222222222222223,0.13726245,-10.391738
0.021666666666666667,120.0,600.0,0.06378558,5,0.7494034,0.17804748,0.036111111111111115,0.14518735,-11.313118
0.02388888888888889,140.0,700.0,0.06605833,6,0.7524003,0.1786948,0.030555555555555558,0.15065275,-12.515985
0.025555555555555554,160.0,800.0,0.0679346,7,0.755322,0.17921345,0.030555555555555558,0.15355934,-13.24556
0.04000000000000001,180.0,900.0,0.07010159,8,0.75948304,0.17999093,0.05555555555555555,0.15662211,-12.633913
0.05833333333333335,200.0,1000.0,0.072012216,9,0.7640382,0.18079488,0.09999999999999999,0.15896288,-12.921377
0.07666666666666667,220.0,1100.0,0.07344273,10,0.7681079,0.18149179,0.1638888888888889,0.16054314,-12.749698
0.09388888888888888,240.0,1200.0,0.07458416,11,0.7714278,0.1821149,0.16944444444444443,0.1616869,-13.215613
0.09777777777777778,260.0,1300.0,0.07615178,12,0.77448845,0.1826548,0.2638888888888889,0.16376325,-13.533097
0.10833333333333334,280.0,1400.0,0.07807256,13,0.77781606,0.18342665,0.21388888888888888,0.16590993,-13.705151
0.11500000000000002,300.0,1500.0,0.08013186,14,0.7813251,0.1842335,0.2222222222222222,0.1679159,-13.550709
0.12333333333333332,320.0,1600.0,0.08222136,15,0.78420556,0.18501098,0.3194444444444444,0.16995883,-12.332825
0.15333333333333332,340.0,1700.0,0.08408035,16,0.7863349,0.18556231,0.3138888888888889,0.17162244,-12.144982
0.16055555555555556,360.0,1800.0,0.08577524,17,0.78862405,0.18611656,0.35555555555555557,0.17286924,-12.072591
0.15388888888888888,380.0,1900.0,0.087185115,18,0.7905546,0.18661526,0.3027777777777778,0.17376685,-13.637214
0.16444444444444445,400.0,2000.0,0.08847417,19,0.792147,0.1870577,0.4305555555555556,0.17499942,-12.387436
0.17722222222222223,420.0,2100.0,0.08978762,20,0.7940009,0.18749106,0.4361111111111111,0.17584985,-11.6039915
0.1888888888888889,440.0,2200.0,0.09069273,21,0.79593426,0.18790933,0.5499999999999999,0.17640635,-10.819113
0.19333333333333336,460.0,2300.0,0.09153685,22,0.79763913,0.18826458,0.4444444444444444,0.17688881,-11.334947
0.20666666666666667,480.0,2400.0,0.092308246,23,0.79915303,0.18859023,0.5416666666666666,0.17720559,-10.605622
0.185,500.0,2500.0,0.09307288,24,0.8003882,0.18883151,0.4694444444444444,0.1774586,-10.339588
0.21555555555555556,520.0,2600.0,0.09376684,25,0.8014891,0.18904392,0.4277777777777778,0.17763275,-11.897339
0.17666666666666664,540.0,2700.0,0.0945346,26,0.802719,0.18926188,0.5111111111111111,0.17752902,-10.251957
0.18333333333333332,560.0,2800.0,0.09531239,27,0.80378556,0.18945278,0.4583333333333333,0.1777686,-11.693377
