test/episode,train/success_rate,epoch,stats_o/std,stats_o/mean,test/success_rate,train/episode,stats_g/mean,test/mean_Q,stats_g/std
20.0,0.037222222222222226,0,0.053285345,0.20337024,0.03333333333333333,100.0,0.84343123,-3.025824,0.09494004
40.0,0.03833333333333334,1,0.051458787,0.20376748,0.04722222222222223,200.0,0.84449315,-4.9128714,0.09486727
60.0,0.03722222222222222,2,0.050910242,0.20378768,0.041666666666666664,300.0,0.84491295,-6.8767443,0.09452772
80.0,0.043333333333333335,3,0.052538946,0.20388848,0.05833333333333332,400.0,0.8454199,-8.601414,0.094976835
100.0,0.049444444444444444,4,0.055819307,0.20387834,0.05555555555555555,500.0,0.84542507,-10.340276,0.09589705
120.0,0.06444444444444446,5,0.060795255,0.20390749,0.09722222222222222,600.0,0.84537864,-11.2857685,0.09702884
140.0,0.09555555555555556,6,0.06654279,0.20402244,0.14444444444444446,700.0,0.8454385,-12.054818,0.09813412
160.0,0.17555555555555558,7,0.072966136,0.2040821,0.3111111111111111,800.0,0.8454952,-11.06447,0.09911455
180.0,0.26555555555555554,8,0.0786634,0.20419319,0.4361111111111111,900.0,0.84556365,-9.831239,0.09964408
200.0,0.34722222222222215,9,0.08345643,0.20426382,0.4861111111111111,1000.0,0.84527135,-9.8781,0.10025271
220.0,0.40166666666666667,10,0.08704457,0.20442924,0.5222222222222223,1100.0,0.8453154,-9.783075,0.10024974
240.0,0.44333333333333336,11,0.08949944,0.20433311,0.5361111111111111,1200.0,0.84530663,-10.719918,0.100081295
260.0,0.45500000000000007,12,0.09102932,0.20421322,0.5861111111111111,1300.0,0.84520966,-9.749516,0.10001584
280.0,0.48444444444444446,13,0.092345506,0.20420128,0.6805555555555556,1400.0,0.8452184,-8.448822,0.09999338
300.0,0.5177777777777778,14,0.09331122,0.20415995,0.661111111111111,1500.0,0.8453451,-9.347955,0.10011109
320.0,0.543888888888889,15,0.09430727,0.20412071,0.7416666666666667,1600.0,0.8454766,-7.6957974,0.10038553
340.0,0.5461111111111111,16,0.095229164,0.20414001,0.75,1700.0,0.84560925,-6.181236,0.100755006
360.0,0.565,17,0.09593312,0.20405394,0.7833333333333333,1800.0,0.8455106,-6.2252026,0.10084454
380.0,0.5438888888888889,18,0.09664997,0.20399795,0.7916666666666666,1900.0,0.84530365,-7.0432887,0.100913405
400.0,0.5611111111111112,19,0.09708435,0.20404175,0.7666666666666667,2000.0,0.8453543,-7.0840764,0.10093635
420.0,0.5738888888888889,20,0.09759311,0.20405068,0.8277777777777777,2100.0,0.84545124,-6.127383,0.10100463
440.0,0.5744444444444444,21,0.09817606,0.20412664,0.7972222222222222,2200.0,0.8455571,-7.3721323,0.101334624
460.0,0.5294444444444445,22,0.09877413,0.20416772,0.8722222222222222,2300.0,0.8456981,-6.367902,0.10164744
480.0,0.5472222222222222,23,0.09912399,0.2042102,0.8500000000000001,2400.0,0.8458679,-6.3078732,0.10171601
500.0,0.5499999999999999,24,0.09959206,0.20423917,0.8611111111111112,2500.0,0.845989,-6.1164746,0.101910055
520.0,0.5644444444444444,25,0.09990245,0.2042707,0.8666666666666667,2600.0,0.84607875,-5.730859,0.10196394
540.0,0.5511111111111111,26,0.100266784,0.20432675,0.8999999999999999,2700.0,0.8462594,-5.779374,0.10205218
560.0,0.5466666666666666,27,0.10069272,0.20436656,0.9083333333333334,2800.0,0.8464682,-4.81262,0.10221091
580.0,0.5455555555555556,28,0.10102892,0.20443124,0.838888888888889,2900.0,0.84667736,-4.826276,0.10243102
600.0,0.5311111111111111,29,0.101270735,0.20447606,0.8888888888888888,3000.0,0.8469876,-4.0960426,0.10250139
620.0,0.5,30,0.10158196,0.20455188,0.85,3100.0,0.8472364,-4.163549,0.1026847
640.0,0.5355555555555556,31,0.10185568,0.20461607,0.8472222222222222,3200.0,0.84746635,-4.3705363,0.102861576
660.0,0.5422222222222222,32,0.102087215,0.20462124,0.8861111111111112,3300.0,0.84761405,-3.3000379,0.10295835
680.0,0.545,33,0.10233745,0.20466015,0.8472222222222222,3400.0,0.8477695,-3.7694135,0.10294195
700.0,0.538888888888889,34,0.10259195,0.20470437,0.8888888888888888,3500.0,0.8478935,-3.5609937,0.10292424
720.0,0.5333333333333333,35,0.102825604,0.2047306,0.8194444444444444,3600.0,0.8480339,-4.0082684,0.10293007
740.0,0.55,36,0.103056476,0.20474333,0.8888888888888888,3700.0,0.8481543,-2.8369966,0.10288986
760.0,0.5322222222222223,37,0.10330572,0.20478398,0.8750000000000001,3800.0,0.8483167,-3.1451836,0.10285863
780.0,0.5327777777777778,38,0.10354024,0.2048009,0.875,3900.0,0.8484229,-2.7857969,0.10289496
800.0,0.535,39,0.10366944,0.20484546,0.8583333333333333,4000.0,0.84856635,-2.9361665,0.10291374
820.0,0.5194444444444445,40,0.10388139,0.20484096,0.9500000000000001,4100.0,0.8486817,-1.8539022,0.10293573
840.0,0.5227777777777778,41,0.10405551,0.20488745,0.875,4200.0,0.8488162,-2.3000135,0.10296041
860.0,0.4983333333333333,42,0.104260035,0.20493203,0.9194444444444443,4300.0,0.8489331,-2.3135924,0.10301137
880.0,0.5355555555555556,43,0.10438445,0.20496717,0.8861111111111112,4400.0,0.84906155,-2.0066414,0.10303846
900.0,0.5122222222222222,44,0.10451308,0.20501894,0.8777777777777778,4500.0,0.84911036,-2.195154,0.102983385
920.0,0.536111111111111,45,0.104689494,0.20503518,0.9138888888888889,4600.0,0.8491628,-1.6625216,0.102981314
940.0,0.5155555555555557,46,0.1048713,0.20506491,0.8694444444444446,4700.0,0.8492618,-1.7236167,0.10300821
960.0,0.5194444444444444,47,0.10500556,0.20508185,0.836111111111111,4800.0,0.8493631,-1.6096745,0.10303041
980.0,0.5244444444444444,48,0.10519927,0.20512468,0.9333333333333333,4900.0,0.8494483,-1.242979,0.10303545
1000.0,0.5222222222222223,49,0.10532993,0.2051564,0.8999999999999999,5000.0,0.8495488,-1.5487739,0.10303378
1020.0,0.5266666666666667,50,0.105443686,0.20520006,0.9222222222222223,5100.0,0.84965444,-1.1874502,0.10305764
1040.0,0.5288888888888889,51,0.10554996,0.20522493,0.8888888888888888,5200.0,0.8497045,-1.3375577,0.10308519
1060.0,0.5066666666666667,52,0.105719164,0.20526333,0.8722222222222222,5300.0,0.84981185,-1.401197,0.103141084
1080.0,0.53,53,0.10578534,0.20527928,0.8722222222222222,5400.0,0.8498903,-1.2692599,0.10313005
1100.0,0.5105555555555557,54,0.105934896,0.20527753,0.875,5500.0,0.8499434,-1.3728633,0.103162885
1120.0,0.5016666666666666,55,0.10604073,0.20530373,0.9083333333333334,5600.0,0.8500116,-1.0843378,0.10317066
1140.0,0.5155555555555555,56,0.10617027,0.20531711,0.8999999999999999,5700.0,0.8500545,-1.1921312,0.10314156
1160.0,0.5261111111111112,57,0.10626136,0.20531672,0.9166666666666666,5800.0,0.85007834,-1.0733697,0.10318033
1180.0,0.5338888888888889,58,0.106340505,0.20531456,0.9166666666666666,5900.0,0.8501029,-1.0978951,0.10318893
1200.0,0.5122222222222222,59,0.10647097,0.2053207,0.9138888888888889,6000.0,0.85015345,-1.1307329,0.103179306
1220.0,0.4883333333333333,60,0.10657483,0.20533293,0.9194444444444445,6100.0,0.8501744,-1.0846162,0.10318371
1240.0,0.5094444444444444,61,0.1067451,0.20536149,0.9222222222222223,6200.0,0.85020953,-0.99215263,0.10322043
1260.0,0.5244444444444445,62,0.10684046,0.205387,0.9083333333333334,6300.0,0.8502535,-1.0871092,0.10319957
1280.0,0.525,63,0.10695264,0.20539969,0.9333333333333333,6400.0,0.85027725,-1.032993,0.10317883
1300.0,0.5022222222222222,64,0.10705884,0.20541057,0.911111111111111,6500.0,0.8502979,-1.0990269,0.10321845
1320.0,0.5111111111111111,65,0.10712637,0.20541961,0.8527777777777777,6600.0,0.85032344,-1.2423959,0.103200234
1340.0,0.5338888888888889,66,0.10718022,0.20542115,0.8888888888888888,6700.0,0.8503473,-0.9791014,0.10319218
1360.0,0.5422222222222222,67,0.10720955,0.20542783,0.911111111111111,6800.0,0.8503635,-1.1136006,0.10318087
1380.0,0.5338888888888889,68,0.10727535,0.20541412,0.9083333333333334,6900.0,0.85033745,-1.1545451,0.10318577
1400.0,0.5027777777777778,69,0.10729423,0.20541507,0.8972222222222221,7000.0,0.8503507,-1.2126403,0.10314092
1420.0,0.5155555555555554,70,0.10732564,0.20540245,0.8999999999999999,7100.0,0.85036784,-1.1435591,0.10307554
1440.0,0.52,71,0.10739524,0.2054164,0.9416666666666667,7200.0,0.85036397,-1.0714198,0.1030315
1460.0,0.4961111111111111,72,0.10744539,0.20542683,0.8666666666666667,7300.0,0.8503797,-1.2492537,0.10304502
1480.0,0.5272222222222223,73,0.107503265,0.20541874,0.9277777777777777,7400.0,0.8503832,-1.0263004,0.10300982
1500.0,0.51,74,0.10752842,0.20541374,0.9361111111111112,7500.0,0.8503932,-0.87719035,0.10294574
1520.0,0.5372222222222223,75,0.10761763,0.20540968,0.8694444444444444,7600.0,0.850364,-1.1774006,0.10292396
1540.0,0.5216666666666667,76,0.10766509,0.20542437,0.8999999999999999,7700.0,0.85037374,-1.0170168,0.10291591
1560.0,0.508888888888889,77,0.10772149,0.20541802,0.8861111111111112,7800.0,0.8503728,-1.1865473,0.10291094
1580.0,0.5005555555555556,78,0.10780202,0.2054185,0.9055555555555556,7900.0,0.850353,-1.1677699,0.102914065
1600.0,0.5299999999999999,79,0.10783714,0.20542046,0.9166666666666666,8000.0,0.85038304,-1.0541973,0.10287207
1620.0,0.51,80,0.10789126,0.20540318,0.8972222222222224,8100.0,0.8503704,-1.1217,0.102839746
1640.0,0.49388888888888893,81,0.10793327,0.20542711,0.875,8200.0,0.8503794,-1.1526217,0.10282152
1660.0,0.5038888888888889,82,0.10800704,0.20543364,0.9027777777777778,8300.0,0.85040146,-0.9310734,0.10284352
1680.0,0.5161111111111111,83,0.10806699,0.20543808,0.8833333333333333,8400.0,0.8504388,-1.1102549,0.10280994
1700.0,0.523888888888889,84,0.10809436,0.20543928,0.8805555555555555,8500.0,0.850446,-1.1412454,0.102800936
1720.0,0.5255555555555556,85,0.108133286,0.20543227,0.9194444444444445,8600.0,0.85046864,-1.0633551,0.10279098
1740.0,0.5444444444444445,86,0.10817261,0.205448,0.9027777777777778,8700.0,0.8504617,-1.0904462,0.10276291
1760.0,0.5155555555555555,87,0.10821023,0.20544821,0.8972222222222224,8800.0,0.85049087,-1.0676811,0.102733344
1780.0,0.5155555555555557,88,0.108248785,0.20544806,0.9222222222222223,8900.0,0.8505042,-1.1084743,0.10269548
1800.0,0.5150000000000001,89,0.10825709,0.20545156,0.8666666666666667,9000.0,0.85052365,-1.1101549,0.10266036
1820.0,0.52,90,0.10831,0.20546871,0.9000000000000001,9100.0,0.85052747,-1.1815622,0.102656364
1840.0,0.4933333333333333,91,0.10837909,0.2054731,0.8916666666666667,9200.0,0.8505384,-1.0752441,0.10268161
1860.0,0.5072222222222222,92,0.10844245,0.20547828,0.8972222222222221,9300.0,0.85055244,-1.0879843,0.102675386
1880.0,0.5249999999999999,93,0.10846177,0.20548338,0.8972222222222221,9400.0,0.8505624,-1.1745003,0.102641664
1900.0,0.4972222222222222,94,0.108521566,0.20548362,0.8999999999999999,9500.0,0.85056657,-1.1060778,0.10265198
1920.0,0.5122222222222221,95,0.10855676,0.20548473,0.9083333333333334,9600.0,0.8505802,-1.0300488,0.10262004
1940.0,0.5166666666666667,96,0.10858433,0.20548883,0.9194444444444445,9700.0,0.8505923,-1.0493891,0.10257706
1960.0,0.49944444444444447,97,0.108615816,0.20550364,0.8888888888888888,9800.0,0.850611,-1.0899487,0.10258475
1980.0,0.49222222222222217,98,0.10865405,0.20551023,0.8944444444444445,9900.0,0.85062397,-1.0862279,0.10258612
2000.0,0.5172222222222221,99,0.108684376,0.20551234,0.8972222222222224,10000.0,0.85062957,-1.2463542,0.10260133
2020.0,0.5183333333333333,100,0.108719796,0.20550638,0.9166666666666666,10100.0,0.8506229,-1.030214,0.10258207
2040.0,0.5061111111111111,101,0.10877177,0.20550033,0.9055555555555554,10200.0,0.8506236,-0.994915,0.10255912
2060.0,0.5105555555555555,102,0.108823866,0.2055003,0.8805555555555555,10300.0,0.8506267,-1.1936216,0.10254583
2080.0,0.49666666666666665,103,0.1088582,0.2054925,0.8861111111111111,10400.0,0.8506293,-1.0772057,0.10253925
2100.0,0.5061111111111111,104,0.10889354,0.2054877,0.9083333333333334,10500.0,0.85061526,-0.9924647,0.10254815
2120.0,0.5038888888888889,105,0.10889728,0.20548925,0.9166666666666666,10600.0,0.85062647,-1.1110649,0.10252269
2140.0,0.52,106,0.10893185,0.20549965,0.8888888888888888,10700.0,0.8506191,-1.121168,0.102502525
2160.0,0.5305555555555556,107,0.108944505,0.20549971,0.8555555555555555,10800.0,0.8506303,-1.2755159,0.10250117
2180.0,0.5233333333333333,108,0.108991146,0.20549338,0.8916666666666667,10900.0,0.8506169,-1.1911321,0.10251734
2200.0,0.5288888888888889,109,0.10904263,0.20549221,0.8972222222222221,11000.0,0.85062474,-1.1049627,0.102535576
2220.0,0.5161111111111112,110,0.1090627,0.2055064,0.8944444444444445,11100.0,0.850644,-1.0830795,0.10252833
2240.0,0.5122222222222222,111,0.10906999,0.20550597,0.8888888888888888,11200.0,0.8506423,-1.0879374,0.10251352
2260.0,0.5272222222222223,112,0.10911948,0.20551589,0.9083333333333334,11300.0,0.8506391,-1.1136782,0.10250119
2280.0,0.5183333333333332,113,0.109145895,0.2055138,0.8611111111111112,11400.0,0.85064274,-1.2283295,0.10248811
2300.0,0.5233333333333332,114,0.10917929,0.20551546,0.8722222222222222,11500.0,0.8506558,-1.1819763,0.10245901
2320.0,0.5266666666666667,115,0.109215215,0.20551838,0.8999999999999999,11600.0,0.85065913,-1.0164549,0.102449834
2340.0,0.515,116,0.10926001,0.2055171,0.8972222222222221,11700.0,0.8506527,-1.125361,0.10243568
2360.0,0.5188888888888888,117,0.10928866,0.20551199,0.8694444444444444,11800.0,0.85065734,-1.3010981,0.10240196
2380.0,0.4983333333333333,118,0.10932623,0.20550859,0.9333333333333333,11900.0,0.8506524,-1.0500283,0.1024025
2400.0,0.5172222222222222,119,0.10934486,0.20550469,0.8833333333333333,12000.0,0.85065913,-1.2319999,0.102401346
2420.0,0.5083333333333333,120,0.109388724,0.20549433,0.911111111111111,12100.0,0.85065484,-1.0248661,0.10240537
2440.0,0.5227777777777778,121,0.10944823,0.20550394,0.8333333333333334,12200.0,0.85065717,-1.2118212,0.102395624
2460.0,0.5322222222222222,122,0.109476596,0.20549294,0.8805555555555555,12300.0,0.8506478,-1.0961621,0.10239339
2480.0,0.5172222222222221,123,0.10951772,0.20549291,0.8861111111111112,12400.0,0.85065866,-1.0938216,0.10240339
2500.0,0.5216666666666667,124,0.10954338,0.20549843,0.875,12500.0,0.85067284,-1.1455572,0.10239874
2520.0,0.5133333333333332,125,0.109586015,0.20549509,0.8722222222222222,12600.0,0.85069036,-1.15278,0.102399796
2540.0,0.52,126,0.10962361,0.20549385,0.9083333333333334,12700.0,0.85068566,-1.1225648,0.10239042
2560.0,0.47333333333333333,127,0.109664604,0.20549496,0.8916666666666667,12800.0,0.85069436,-1.1188155,0.10240075
2580.0,0.5222222222222223,128,0.10969798,0.20549834,0.8861111111111111,12900.0,0.8506954,-1.1744883,0.1023796
2600.0,0.5044444444444444,129,0.10972953,0.20549856,0.9083333333333334,13000.0,0.8506948,-1.1802095,0.10240294
2620.0,0.4961111111111111,130,0.10977605,0.205501,0.8999999999999999,13100.0,0.8506885,-1.1074224,0.10241042
2640.0,0.5033333333333333,131,0.1098198,0.20551494,0.8944444444444444,13200.0,0.8506808,-1.0586177,0.10244519
2660.0,0.5294444444444445,132,0.10985596,0.20551567,0.8833333333333334,13300.0,0.85067,-1.2167827,0.10245086
2680.0,0.52,133,0.10987959,0.20552097,0.8500000000000001,13400.0,0.8506614,-1.2111547,0.10245804
2700.0,0.5194444444444444,134,0.10991123,0.20552379,0.8638888888888888,13500.0,0.85066086,-1.1597974,0.10245317
2720.0,0.5077777777777778,135,0.10993457,0.20552829,0.9277777777777779,13600.0,0.8506711,-1.0457882,0.10245056
2740.0,0.5255555555555556,136,0.109940335,0.20553371,0.8805555555555556,13700.0,0.8506744,-1.0514036,0.10241655
2760.0,0.515,137,0.10997273,0.20553905,0.8944444444444445,13800.0,0.85067916,-1.1425109,0.10243109
2780.0,0.5122222222222222,138,0.110005036,0.20554535,0.9000000000000001,13900.0,0.850685,-1.0678531,0.10241648
2800.0,0.5161111111111111,139,0.110032424,0.20554456,0.8861111111111111,14000.0,0.85069203,-1.0193877,0.10240984
2820.0,0.5211111111111111,140,0.11007872,0.20554394,0.8944444444444445,14100.0,0.8506892,-1.2474499,0.102408424
2840.0,0.5105555555555555,141,0.11009492,0.20553656,0.8805555555555556,14200.0,0.8506999,-1.158916,0.10239789
2860.0,0.5,142,0.11011318,0.2055412,0.8694444444444444,14300.0,0.85070544,-1.2364264,0.10240033
2880.0,0.5177777777777778,143,0.11014226,0.20554762,0.8861111111111111,14400.0,0.85071874,-1.2063429,0.10239658
2900.0,0.5127777777777777,144,0.11018286,0.20555097,0.8666666666666667,14500.0,0.85073024,-1.1091583,0.10241064
2920.0,0.5094444444444445,145,0.1102027,0.20555931,0.8805555555555555,14600.0,0.8507459,-1.1095681,0.102413386
2940.0,0.5283333333333333,146,0.11024066,0.20555578,0.8555555555555556,14700.0,0.8507354,-1.1852291,0.10242406
2960.0,0.5111111111111111,147,0.11028272,0.20555966,0.8805555555555555,14800.0,0.8507361,-1.0779614,0.10242886
2980.0,0.5133333333333333,148,0.110304974,0.20556623,0.875,14900.0,0.850743,-1.1018933,0.102416635
3000.0,0.5077777777777778,149,0.11033304,0.2055685,0.8638888888888889,15000.0,0.85073066,-1.2432684,0.10242316
3020.0,0.5133333333333333,150,0.11035058,0.20557234,0.838888888888889,15100.0,0.8507416,-1.2240548,0.10243645
3040.0,0.5094444444444445,151,0.11037707,0.20557866,0.8999999999999999,15200.0,0.85073805,-1.0963037,0.10242454
3060.0,0.5133333333333334,152,0.11041066,0.20558149,0.8666666666666667,15300.0,0.85074073,-1.1476784,0.10242307
3080.0,0.4983333333333333,153,0.11043547,0.20559046,0.8583333333333333,15400.0,0.8507524,-1.3656937,0.10242665
3100.0,0.5238888888888888,154,0.110468835,0.2055909,0.8500000000000001,15500.0,0.8507538,-1.234318,0.1024338
3120.0,0.5033333333333333,155,0.11050324,0.20559639,0.9333333333333331,15600.0,0.85076046,-1.0871465,0.10244101
3140.0,0.5166666666666667,156,0.11055047,0.20559484,0.8722222222222222,15700.0,0.8507449,-1.1981937,0.102435194
3160.0,0.5294444444444445,157,0.11055279,0.20560008,0.8833333333333333,15800.0,0.8507464,-1.2328314,0.10241161
3180.0,0.48777777777777787,158,0.11057654,0.20560616,0.9138888888888891,15900.0,0.85074997,-1.1049058,0.10241637
3200.0,0.515,159,0.110597506,0.20562011,0.8722222222222222,16000.0,0.8507636,-1.1189631,0.102425486
3220.0,0.49666666666666665,160,0.110631645,0.20562704,0.8527777777777777,16100.0,0.85076606,-1.2675023,0.10242789
3240.0,0.5177777777777778,161,0.11066274,0.20562989,0.8694444444444445,16200.0,0.8507526,-1.2044983,0.10241327
3260.0,0.5194444444444445,162,0.110654384,0.20563903,0.8861111111111111,16300.0,0.850754,-1.1531627,0.10240117
3280.0,0.4905555555555556,163,0.11067792,0.20563948,0.8916666666666667,16400.0,0.8507674,-1.1649612,0.102406114
3300.0,0.5155555555555557,164,0.11069374,0.20563558,0.8944444444444445,16500.0,0.85078144,-1.1188579,0.102389306
3320.0,0.5227777777777778,165,0.11069135,0.20564425,0.9249999999999999,16600.0,0.85079724,-1.0293753,0.10238272
3340.0,0.5261111111111111,166,0.11072217,0.20564988,0.9000000000000001,16700.0,0.8508061,-1.0564009,0.10237542
