test/episode,test/mean_Q,stats_g/std,epoch,train/episode,stats_g/mean,stats_o/std,train/success_rate,test/success_rate,stats_o/mean
20.0,-1.0876734,0.08571308,0,20.0,0.8687129,0.028143253,0.3277777777777778,0.3333333333333333,0.2607161
40.0,-0.9616572,0.07996055,1,40.0,0.87033683,0.026623767,0.5277777777777778,0.8027777777777777,0.26104295
60.0,-0.6440017,0.078742325,2,60.0,0.8703894,0.026355453,0.6750000000000002,0.9611111111111109,0.261105
80.0,-0.49449337,0.07916573,3,80.0,0.87143326,0.026757682,0.8111111111111112,0.9666666666666666,0.2613774
100.0,-0.471701,0.07938116,4,100.0,0.87154895,0.027075266,0.7527777777777778,0.9611111111111111,0.26142323
120.0,-0.37352917,0.07994591,5,120.0,0.87152797,0.027464785,0.7999999999999999,0.9499999999999998,0.26141912
140.0,-0.24744004,0.08034542,6,140.0,0.8717183,0.027807973,0.8166666666666668,0.9972222222222222,0.26148897
160.0,-0.1329499,0.08080682,7,160.0,0.8715062,0.0281579,0.8250000000000001,1.0,0.26144588
180.0,-0.12160393,0.08131429,8,180.0,0.87158036,0.028465483,0.7999999999999999,1.0,0.26147816
200.0,-0.15206033,0.0817186,9,200.0,0.8719203,0.028712286,0.8305555555555556,1.0,0.26158947
220.0,-0.12286893,0.082042165,10,220.0,0.8718877,0.028900644,0.8222222222222223,1.0,0.2615925
240.0,-0.1494264,0.082380325,11,240.0,0.8720145,0.029099055,0.8027777777777777,1.0,0.2616417
260.0,-0.13152473,0.082672685,12,260.0,0.8722496,0.0292508,0.7722222222222223,1.0,0.26172367
280.0,-0.1396433,0.08296412,13,280.0,0.8726188,0.029389359,0.7666666666666667,1.0,0.26182693
300.0,-0.09954694,0.08301772,14,300.0,0.87273383,0.029442204,0.7694444444444445,1.0,0.26186785
320.0,-0.12741417,0.08325422,15,320.0,0.873079,0.029540798,0.7388888888888889,1.0,0.26195928
340.0,-0.1048305,0.08340214,16,340.0,0.8731925,0.029609598,0.7583333333333333,1.0,0.26199353
360.0,-0.13486205,0.08358039,17,360.0,0.873332,0.02969577,0.7749999999999999,1.0,0.26202953
380.0,-0.14434315,0.083751045,18,380.0,0.8733547,0.029767461,0.7444444444444445,1.0,0.2620415
400.0,-0.12979476,0.08391598,19,400.0,0.87364817,0.029828535,0.7583333333333333,1.0,0.2621327
420.0,-0.1478185,0.084068716,20,420.0,0.8737101,0.029894441,0.7749999999999999,1.0,0.2621567
440.0,-0.115663156,0.08403758,21,440.0,0.8738248,0.02990698,0.7194444444444444,1.0,0.26219395
460.0,-0.1211995,0.084056914,22,460.0,0.87391937,0.02993382,0.7583333333333333,1.0,0.26222116
480.0,-0.14004144,0.084179744,23,480.0,0.87414694,0.029977998,0.75,1.0,0.26228443
500.0,-0.08895527,0.084211506,24,500.0,0.87426686,0.029999904,0.75,1.0,0.26231682
520.0,-0.1192328,0.08426474,25,520.0,0.8742244,0.03002547,0.8027777777777778,1.0,0.26230687
540.0,-0.09513011,0.08434567,26,540.0,0.8743646,0.030058632,0.8027777777777777,1.0,0.2623446
560.0,-0.0962153,0.08438745,27,560.0,0.8743846,0.03007684,0.7361111111111112,1.0,0.26235178
580.0,-0.12998049,0.08449219,28,580.0,0.87450874,0.03011226,0.7138888888888889,1.0,0.26239103
600.0,-0.11948384,0.0845023,29,600.0,0.8744712,0.030124448,0.7805555555555554,1.0,0.26238066
620.0,-0.10029101,0.0845081,30,620.0,0.87429976,0.03013189,0.7277777777777779,1.0,0.26234022
640.0,-0.10455041,0.084503956,31,640.0,0.87436557,0.030141719,0.7166666666666666,1.0,0.26235586
660.0,-0.12935686,0.08458829,32,660.0,0.8744049,0.030174507,0.7277777777777777,1.0,0.2623667
680.0,-0.09140842,0.08459666,33,680.0,0.87440735,0.03018264,0.7305555555555555,1.0,0.2623707
700.0,-0.123034626,0.08461511,34,700.0,0.87459755,0.03019447,0.6888888888888889,1.0,0.26242563
720.0,-0.09893904,0.08462718,35,720.0,0.87474775,0.030204428,0.7333333333333334,1.0,0.26246676
740.0,-0.1448115,0.084677696,36,740.0,0.8748009,0.030219296,0.7416666666666667,1.0,0.2624814
760.0,-0.1119229,0.08475106,37,760.0,0.8747518,0.030242423,0.7388888888888889,1.0,0.26246372
780.0,-0.12145543,0.08479627,38,780.0,0.8748009,0.030257596,0.7222222222222222,1.0,0.26247215
800.0,-0.0772995,0.08481634,39,800.0,0.8748605,0.030270291,0.7305555555555556,1.0,0.26248872
820.0,-0.09531074,0.08485927,40,820.0,0.87477833,0.030285574,0.7361111111111112,1.0,0.26247096
840.0,-0.08753976,0.084871024,41,840.0,0.874825,0.030290417,0.6805555555555556,1.0,0.26248634
860.0,-0.09108735,0.08489878,42,860.0,0.87479496,0.030301247,0.7055555555555555,1.0,0.2624795
880.0,-0.109020315,0.08492855,43,880.0,0.8748915,0.030309776,0.7138888888888889,1.0,0.26250818
900.0,-0.09754492,0.084980905,44,900.0,0.8749094,0.030328678,0.7361111111111112,1.0,0.26251376
920.0,-0.09855756,0.085006535,45,920.0,0.87505215,0.030335627,0.7222222222222222,1.0,0.2625547
940.0,-0.10673774,0.08499425,46,940.0,0.8751151,0.030334003,0.7222222222222222,1.0,0.26256877
960.0,-0.08006186,0.08504494,47,960.0,0.8751993,0.03034816,0.6972222222222223,1.0,0.26259476
980.0,-0.07785593,0.08504224,48,980.0,0.8753057,0.030351887,0.7638888888888888,1.0,0.26262414
1000.0,-0.08443456,0.08504656,49,1000.0,0.8753705,0.030356765,0.7055555555555555,1.0,0.26264232
